"","Estacion","Latitud","Longitud","D1","D2","Cluster"
"125","MURTA (258)","","","-0.159001525853082","-0.0965200723407683","3"
"126","NILO PEÇANHA (131)","","","0.247899103559312","-0.102315008458611","3"
"127","NOVA AVANHANDAVA (242)","-21.1167","-50.2017","-0.151365785943043","0.0690329815115054","3"
"128","NOVA AVANHANDAVA ARTIFICIAL (42)","","","-0.176808644407434","0.0739892529560807","3"
"129","NOVA PONTE (25)","-19.1339","-47.6942","0.388599983768121","0.0104703397818549","3"
"130","PARAIBUNA (121)","-23.41","-45.6011","0.112341503619342","-0.0920339132959915","3"
"131","PAULO AFONSO (175)","-9.41639","-38.2086","0.429415430650404","0.128167657104481","3"
"132","PEIXE ANGICAL (257)","-12.2361","-48.3878","0.316809848418388","0.0205825708572125","3"
"133","PICADA (197)","-21.9","-43.5333","0.175573207859505","-0.00667702484788326","3"
"134","PORTO COLÔMBIA (12)","-20.1311","-48.5722","0.380166292166432","0.0154425574780236","3"
"135","PORTO ESTRELA (263)","-19.1164","-42.6631","-0.00856418431124577","-0.0273380477894204","3"
"136","PORTO PRIMAVERA (246)","-22.4819","-52.9561","0.548951454075203","0.137210042255575","3"
"137","PORTO PRIMAVERA ARTIFICIAL (46)","","","0.54712440414333","0.137897913911923","3"
"138","PROMISSÃO (240)","-21.2956","-49.7831","-0.127928476244389","0.0556713604317149","3"
"139","PROMISSÃO ARTIFICIAL (40)","","","-0.153890767686673","0.0603260475117132","3"
"140","RETIRO BAIXO (155)","-18.84","-44.83","0.145883125568458","0.0362999630001902","3"
"141","RONDON 2 (145)","-10.05","-61.97","0.388645638120409","0.109532245330169","3"
"142","ROSAL (196)","-20.9172","-41.7217","-0.0562608133933539","-0.0374844664821275","3"
"143","SALTO (294)","-18.8011","-51.1811","0.738395348566547","0.0973199922018267","3"
"144","SALTO APIACÁS (225)","","","0.913817105148042","-0.0721099644969958","3"
"145","SALTO GRANDE (134)","-19.1461","-42.7489","-0.00698837988406887","-0.0301817464048992","3"
"146","SALTO VERDINHO (241)","-19.1467","-50.7678","0.739320513119483","0.0956563737242777","3"
"147","SAMUEL (279)","-8.75111","-63.4542","1.27026801788989","-0.177529824791209","3"
"148","SANTA BRANCA (122)","-23.3731","-45.8711","0.112946142661934","-0.116730760606865","3"
